1,21,1,2,7,1,2,9,22,2,2,3
2,21,1,2,5,2,2,9,33,2,2,3
1,55,1,1,2,1,2,9,70,2,2,3
1,16,1,1,5,1,2,3,30,2,2,3
2,57,1,2,3,2,2,8,70,2,2,3
4,24,1,2,5,2,2,9,31,2,2,3
1,23,1,2,2,1,2,9,30,2,2,3
1,21,1,2,2,2,2,9,22,2,2,3
1,38,1,2,2,1,2,9,30,2,2,3
11,65,2,2,2,2,2,6,13,2,2,3
2,41,2,2,2,2,2,10,13,2,2,3
2,40,2,2,2,2,2,10,13,2,2,3
2,23,1,2,4,2,1,10,52,2,2,3
2,21,1,2,4,2,1,10,52,2,2,3
1,21,1,2,5,2,2,9,13,2,2,3
1,29,1,2,5,2,2,10,13,2,2,3
1,20,1,2,6,2,2,9,70,2,2,3
1,26,2,2,7,2,2,9,30,2,2,3
2,20,1,2,5,2,2,9,55,2,2,3
0,0,3,3,5,2,2,9,55,2,2,3
3,43,2,1,4,2,2,11,52,2,2,3
1,21,1,2,7,2,2,9,22,2,2,3
1,49,1,2,2,2,2,10,14,2,2,3
1,49,1,3,7,2,2,10,62,2,2,3
1,27,1,3,7,2,2,9,62,2,2,3
1,32,1,2,5,2,2,9,22,2,2,3
1,20,1,2,3,2,2,9,30,2,2,3
2,50,1,1,7,2,2,9,22,2,2,3
2,70,2,2,7,2,2,9,31,2,2,3
1,32,1,2,5,2,2,9,22,2,2,3
1,19,1,2,1,2,2,9,22,2,2,3
2,70,1,2,3,2,2,9,31,2,2,3
1,55,1,2,2,2,2,9,31,2,2,3
1,27,1,2,4,1,2,9,29,2,2,3
1,19,1,2,5,2,2,2,66,2,2,3
1,64,2,2,5,2,2,10,66,2,2,3
1,24,1,1,4,2,2,3,22,2,2,3
6,0,3,3,3,2,2,10,70,2,2,3
2,0,1,3,6,2,2,3,29,2,2,3
3,29,1,1,7,2,2,9,29,2,2,3
5,32,1,1,7,2,2,9,29,2,2,3
1,0,3,3,1,2,2,3,85,2,2,4
1,35,2,2,2,2,2,1,65,2,2,3
1,36,1,2,2,2,2,4,73,2,2,3
1,55,1,2,2,2,2,10,73,2,2,3
2,19,1,1,3,2,2,3,38,2,2,4
0,0,3,3,3,2,2,10,38,2,2,4
2,19,1,2,5,2,2,9,70,2,2,3
1,20,1,3,5,2,2,3,62,2,2,4
1,20,2,2,5,2,2,10,62,2,2,4
10,23,1,1,5,2,2,3,52,2,2,4
1,42,1,2,3,1,2,3,47,2,2,4
1,87,2,2,3,1,2,10,47,2,2,4
1,0,3,3,4,2,2,3,40,2,2,4
6,22,1,1,7,2,2,3,52,2,2,4
1,19,1,2,2,1,2,3,52,2,2,3
1,23,1,2,2,2,2,3,36,2,2,4
2,24,1,2,3,2,2,3,50,2,2,4
2,50,1,2,3,2,2,10,50,2,2,4
1,23,1,2,6,2,2,3,33,2,2,4
1,0,3,3,1,2,2,3,22,2,2,4
5,0,1,2,7,2,2,3,2,2,2,4
1,19,1,3,4,2,2,3,3,2,2,4
1,0,3,3,7,2,2,3,33,2,2,4
1,26,1,3,1,2,2,3,62,2,2,4
1,24,2,2,1,2,2,10,62,2,2,4
1,61,1,3,1,2,2,5,62,2,2,4
4,0,3,3,3,2,2,3,22,2,2,4
2,19,1,2,4,1,2,3,55,2,2,4
0,0,3,3,4,1,2,10,55,2,2,4
0,0,3,3,4,1,2,10,55,2,2,4
7,21,1,1,2,1,2,3,70,2,2,4
1,0,3,3,3,2,2,3,85,2,2,4
2,18,1,2,4,1,2,3,32,2,2,4
1,33,1,1,1,2,2,3,39,2,2,4
1,0,3,3,4,2,2,3,22,2,2,4
1,0,3,3,2,2,2,3,55,2,2,4
0,0,3,3,2,2,2,10,55,2,2,4
1,30,2,1,2,1,2,3,36,2,2,4
1,37,2,2,4,2,2,9,30,2,2,3
1,0,3,3,3,2,2,3,31,2,2,4
2,29,1,3,6,2,2,3,62,2,2,4
1,50,2,3,6,2,2,10,62,2,2,4
1,33,1,3,6,2,2,10,62,2,2,4
1,24,1,3,6,2,2,10,62,2,2,4
